0.030667,2.216307,1.494931,2.499667,0.536943,0.109831,0.009187,0.000103,0.413691,0.206025,0.179981,0.067557,0.693392,0.598088,0.425657,0.127092,0.136441,0.129539,0.143345,0.086183,0.434291,8.762591,8.567158,48.05316,2.888601,1.065897,0.974129,0.418597,0.856515,0.058319,42.32755,6.736684,498.51,0.840277,0.022799,0.40397,0.111848,0.000671,0.004712,1910.934,2.21962,0,0.683089,0.092596,0,0.216623,0.005253,349.4927,25303.05,0.008993,2.444746,2.791274,-1.452347,-11.56244,1.788943,0.000993,0.762548,5.502003,2495,-0.070669,0.000009,0.012343,0.06926,0.002711,1.145884,0.000027,0.000006,0.017945,romantic
0.036582,0.837473,1.542611,2.237022,0.456426,0.152992,0.009681,0.000004,0.396935,0.193114,0.167088,0.070384,0.385977,0.285181,0.438603,0.123533,0.12187,0.117998,0.144213,0.089489,0.099487,5.787426,5.893067,72.42995,3.875092,1.179606,0.729321,0.917752,0.889857,0.282238,332.2546,6.889429,358.667,0.727384,0.011086,0.025197,0.241699,0.000257,0.021298,27678.7,0.910854,0,0.992011,0.15361,0,0.007931,0.001642,409.4555,12352.24,0.001197,1.208434,-1.634218,-0.511623,-2.024814,1.287191,0.000192,0.265976,4.31178,2978,-0.243738,-0.000003,0.416393,0.049504,-0.000149,0.585051,-0.000002,0.000088,-0.311866,romantic
0.094335,0.140299,1.511457,2.190555,0.487815,0.231476,0.030149,0.000314,0.428064,0.209474,0.194107,0.068211,0.302434,0.323527,0.2745,0.106979,0.120341,0.105461,0.112721,0.037382,0.209045,50.055829,48.14271,93.50886,5.946776,1.500063,0.545963,0.914037,0.895333,0.144528,60.76677,5.255287,119.2074,0.427926,0.007577,0.01298,0.08617,0.000125,0.016917,2614.738,0.264925,0,0.954061,0.087827,0,0.043858,0.002326,1029.466,133886.3,0.019551,0.548266,-12.44828,-0.127755,2.86848,1.234447,0.00384,0.424299,4.009384,292,0.702016,-0.000001,0.167371,0.017558,0.000417,0.869889,0.000061,-0.000053,-0.363978,romantic
0.114714,0.726528,1.506045,2.072538,0.380309,0.214198,0.054322,0.000028,0.44916,0.220963,0.198861,0.066517,0.259802,0.264866,0.326544,0.101516,0.114153,0.117104,0.124323,0.025453,0.192425,17.588003,16.682705,89.45719,6.577602,1.640031,0.554045,0.981218,0.900041,0.163629,78.20997,4.613824,337.5223,1.049778,0.019287,0.00829,0.154966,0.000111,0.017016,5539.758,0.591626,0,0.943409,0.102577,0,0.053424,0.002976,1304.312,713470.3,0.012436,2.886367,-14.06103,-0.744859,-5.071503,1.562327,0.002457,0.552281,4.072331,1627,-0.097372,-0.000002,-0.123041,-0.209836,0.000376,1.023872,-0.000012,-0.000004,0.097282,romantic
0.022389,2.501236,1.541452,2.214655,0.497103,0.082967,0.007793,0.000337,0.44202,0.223406,0.20571,0.070533,0.354958,0.395184,0.444051,0.181974,0.180796,0.12665,0.157095,0.097378,0.215612,12.325307,14.15745,50.24809,2.954359,1.037438,1.064248,0.533069,0.855302,0.04009,58.51253,7.65403,277.2554,0.902864,0.035562,0.287001,0.062301,0.000605,0.002464,2028.677,2.570045,0,0.989348,0.135167,0,0.010546,0.001435,260.8471,17629.24,0.007701,1.716865,3.227214,-1.606547,-3.254851,6.958898,0.001195,0.496579,4.249718,307,-0.517689,0.000006,0.131245,-0.221433,0.002702,1.012252,0.000016,-0.000082,-0.145185,romantic
0.024923,1.659928,1.458984,2.308851,0.417535,0.092687,0.014721,0.000227,0.490425,0.240371,0.189912,0.08362,0.468402,0.251172,0.309503,0.117466,0.114416,0.106102,0.134506,0.093004,0.18356,15.039544,19.902425,55.62333,3.732676,1.214228,0.989413,0.612285,0.885152,0.052638,38.40102,6.133019,205.3915,0.95336,0.028319,0.158209,0.169377,0.000314,0.004038,1076.129,1.319637,0,0.912783,0.091926,0,0.079663,0.002688,287.0964,48492.35,0.011018,3.787928,-3.447848,-1.270674,-7.799345,3.962047,0.001843,0.531721,4.060114,1383,0.027787,0.000003,-0.187221,0.228284,0.000925,1.120332,0.000037,0.000076,0.009593,romantic
0.07876,-0.712585,1.478235,2.21019,0.239883,0.191109,0.033235,0.000067,0.415444,0.201716,0.19103,0.103705,0.529222,0.291181,0.354218,0.09846,0.093876,0.098642,0.080977,0.043434,0.121526,50.234201,41.27427,82.82284,5.688724,1.506182,0.63787,1.002451,0.897436,0.107878,51.4607,5.182901,64.34888,0.284087,0.004922,0.019441,0.150976,0.000073,0.011405,2330.807,0.092626,0,0.951398,0.134731,0,0.046271,0.002013,862.9735,132379.8,0.008702,3.586008,-8.772005,-0.48667,-5.145129,3.341443,0.002419,1.006417,5.594627,1755,0.688938,0.000007,-0.084961,0.422388,0.00337,1.711464,0.000027,-0.000008,-0.63414,romantic
0.02502,1.121454,1.487187,2.083292,0.387013,0.13183,0.010735,0.000511,0.40341,0.208495,0.170718,0.077732,0.351203,0.409734,0.30572,0.12323,0.129651,0.11025,0.096447,0.106295,0.140589,24.103497,35.810386,63.62277,4.027166,1.240947,0.81386,0.81371,0.894638,0.136847,133.6108,6.174548,97.99649,0.467735,0.012181,0.065708,0.133124,0.000184,0.008308,9548.1,0.426879,0,0.918109,0.123555,0,0.075235,0.003148,274.3735,20990.17,0.007313,0.826399,-3.942594,-0.020064,1.855129,1.04549,0.001015,0.403171,3.573366,1104,0.041413,0.000001,0.049837,-0.002481,-0.00199,0.899537,0.000035,-0.000002,0.141685,romantic
0.031433,1.674945,1.492463,2.506291,0.291666,0.117062,0.012987,0.000059,0.360506,0.190762,0.185056,0.085413,0.485416,0.352035,0.316974,0.108033,0.158328,0.130611,0.09315,0.11236,0.208595,8.794962,10.825323,71.41877,4.351764,1.262117,0.79002,0.734209,0.87798,0.063289,86.9198,6.507377,348.6709,1.245439,0.028228,0.119636,0.231771,0.000376,0.002848,3377.638,1.220503,0,0.972037,0.126688,0,0.027199,0.001383,348.5447,42749.38,0.005841,1.65271,-3.328424,-0.783509,-2.259593,2.875311,0.000821,0.521084,4.458284,211,0.041518,-0.000006,-0.133547,-0.044338,-0.002407,1.05859,-0.000018,-0.000059,0.165095,romantic
0.058533,0.966922,1.500039,2.461645,0.316964,0.159677,0.032731,0.00013,0.449176,0.236022,0.203621,0.082961,0.387775,0.434098,0.400843,0.117762,0.119632,0.12584,0.164046,0.081836,0.346864,14.126222,18.162022,95.6456,5.682428,1.429511,0.622801,0.977273,0.885067,0.151957,134.2517,5.942025,796.0924,2.181135,0.030807,0.037071,0.150356,0.000338,0.013778,11506.37,0.720375,0,0.551265,0.080127,0,0.247537,0.006333,695.2398,280841.4,0.017235,1.129196,-4.178464,-0.170695,-5.406464,3.913052,0.003149,0.66038,4.180019,1356,-0.098906,-0.000004,0.450317,0.10417,0.004152,1.299515,0.00005,0.000061,0.144686,romantic
0.065173,1.882792,1.495158,2.307497,0.345796,0.118585,0.06271,0.000009,0.435151,0.211973,0.208639,0.083138,0.262397,0.257666,0.295685,0.101264,0.09799,0.093499,0.090685,0.030098,0.150955,14.74843,19.204312,65.82836,5.513587,1.575457,0.692687,0.843284,0.898235,0.09093,52.76116,4.547109,235.6124,0.8828,0.022556,0.079397,0.297306,0.000202,0.009069,3400.919,0.549731,0,0.894807,0.118783,0,0.09419,0.00351,684.081,522420.7,0.003456,1.202478,-11.67898,-0.236603,-4.979852,2.117453,0.001123,1.32157,3.330113,1220,0.373501,0,-0.220995,0.022276,-0.0009,1.388495,-0.000035,-0.000019,-0.361756,romantic
0.026927,1.268131,1.554723,2.324994,0.434819,0.10421,0.0185,0.000127,0.438957,0.219425,0.205317,0.082845,0.732139,0.312054,0.329311,0.110902,0.105578,0.100798,0.108078,0.121286,0.263654,16.673991,10.19071,49.86349,3.143856,1.10323,1.030373,0.495245,0.871405,0.05775,59.35214,6.958207,213.487,0.88638,0.033025,0.155729,0.103203,0.000556,0.003943,3838.208,1.812279,0,0.986019,0.112509,0,0.013795,0.001018,280.926,72304.99,0.007659,4.218524,-1.138236,-1.449895,-0.48908,4.856665,0.001671,1.129529,6.995162,1181,-0.154462,-0.000004,-0.334485,0.077923,-0.000058,1.19643,0.000001,-0.000058,0.348268,romantic
0.048982,1.340705,1.524676,2.451407,0.328497,0.15807,0.016279,0.000025,0.444968,0.225642,0.188406,0.08,0.558923,0.431784,0.449533,0.145396,0.156208,0.135968,0.126668,0.095163,0.237527,4.972881,10.287358,64.71443,3.992273,1.260479,0.60962,0.535236,0.877865,0.095911,95.09386,5.841594,387.2824,0.843959,0.022467,0.053154,0.112898,0.000394,0.007021,3955.694,1.115552,0,0.930093,0.110283,0,0.065063,0.002396,546.5519,176081.8,0.005185,1.352247,-1.06723,-0.886459,-2.717445,4.115294,0.000717,0.602548,6.503892,143,-0.231365,-0.000001,-0.191425,0.009246,0.002739,1.08628,0.000052,0.000076,0.41924,romantic
0.050534,2.04421,1.459781,2.183251,0.40543,0.139941,0.030894,0.000491,0.449275,0.225731,0.216324,0.071113,0.404983,0.37075,0.296956,0.12108,0.129445,0.130953,0.091471,0.046784,0.274477,54.804371,52.698535,76.1579,5.253951,1.437108,0.636617,0.895172,0.889949,0.069714,49.95555,5.364593,257.4136,0.930696,0.01809,0.074774,0.230401,0.000227,0.007219,3567.192,0.458105,0,0.928762,0.097731,0,0.066208,0.002752,569.3424,121978.2,0.021762,0.548154,-7.930811,0.836816,-5.004698,0.709455,0.00456,0.972904,5.89665,1221,0.183354,0.000005,-0.195898,-0.142408,-0.00524,1.23638,-0.000007,-0.000185,-0.666903,romantic
0.025583,0.633009,1.531672,2.151872,0.386208,0.091483,0.026913,0.000036,0.399295,0.202219,0.183829,0.072344,0.525873,0.362961,0.346886,0.139966,0.118977,0.102906,0.100469,0.07691,0.299312,0,7.911752,62.45355,4.031806,1.219618,1.143332,0.836141,0.889618,0.092072,47.64775,6.471171,1240.319,3.623765,0.05317,0.145405,0.405879,0.000314,0.017243,2538.493,1.306175,0,0.672437,0.092655,0,0.220412,0.004999,239.4904,343760.1,0.009157,4.005201,-2.766216,-1.749092,3.310168,5.793257,0.001113,0.407778,5.432969,1120,-0.412905,0,-0.093293,0.103731,-0.000084,0.981174,0.000042,-0.000104,-0.088243,romantic
0.042957,2.471252,1.522411,2.210153,0.49255,0.136001,0.011662,0.000138,0.355907,0.192329,0.189806,0.071171,0.491257,0.492089,0.319867,0.110093,0.114615,0.130045,0.119381,0.111921,0.245189,25.273805,35.950835,61.39223,3.519025,1.178015,0.540974,0.411215,0.873105,0.191291,248.9277,6.107091,197.9504,0.782684,0.020847,0.030478,0.029587,0.000208,0.011066,26124.89,0.86056,0,0.819574,0.092396,0,0.147971,0.003957,502.8184,26056.2,0.009413,1.12201,2.409938,-0.625701,-3.874331,3.542102,0.001532,0.525069,6.288664,2674,-0.13954,0.000003,-0.136793,-0.086705,0.000646,0.783735,-0.00001,0.000035,-0.199248,romantic
0.069658,1.016773,1.600266,2.390206,0.268333,0.173451,0.040148,0.000028,0.311331,0.201474,0.153989,0.075546,0.338875,0.564341,0.335991,0.185933,0.107441,0.187126,0.171521,0.081766,0.226217,7.256676,11.079059,53.09016,4.535868,1.48717,0.478236,0.248377,0.8704,0.059267,65.53266,3.839292,326.5884,1.623843,0.036011,0.015829,0.02388,0.00035,0.003312,2369.08,0.346651,0,0.639814,0.082652,0,0.230606,0.005744,853.1522,595165.1,0.009813,1.876163,-7.501399,-1.020442,-8.226195,3.064699,0.001802,0.663855,5.967842,509,0.365811,0,0.261825,0.051429,0.002585,1.199197,0.000041,-0.000089,0.233283,romantic
0.085447,0.992421,1.558483,2.348108,0.398936,0.192266,0.045763,0.000079,0.467788,0.22378,0.19282,0.080875,0.426943,0.225316,0.353421,0.1429,0.12302,0.12414,0.141513,0.036187,0.438082,25.340502,29.629647,93.97978,5.842485,1.47029,0.566395,1.098965,0.895833,0.112929,70.37472,5.559383,615.1384,1.403587,0.018078,0.024569,0.330602,0.000203,0.012753,4211.361,0.898885,0,0.932091,0.120708,0,0.06334,0.003187,912.1929,273458.7,0.014931,0.493913,-10.5046,-0.599061,-1.163255,3.090734,0.002651,0.709608,4.987956,2852,-0.110911,0.000002,0.026565,0.030983,0.005686,1.075471,0.000005,-0.000171,-0.153356,romantic
0.051608,0.611115,1.549365,2.402696,0.281037,0.143275,0.038175,0.000121,0.447147,0.209474,0.175904,0.086712,0.341421,0.297005,0.354473,0.114197,0.160966,0.176528,0.100154,0.05643,0.344835,17.524509,23.929225,75.87171,4.964804,1.376704,0.745489,0.987492,0.899553,0.154316,147.7588,5.741253,299.5061,1.40551,0.030925,0.0529,0.197522,0.000125,0.010648,10952.54,0.594443,0,0.913449,0.141116,0,0.079113,0.003231,549.3704,230729.1,0.015074,1.661606,-5.456105,-0.652377,-4.78661,3.183341,0.002415,0.531621,6.350211,1534,0.424607,-0.000002,-0.042434,0.045949,-0.000413,0.832238,0.000037,-0.000041,0.102028,romantic
0.067768,0.367214,1.470358,2.428082,0.451301,0.169639,0.033117,0.000082,0.448483,0.220267,0.191895,0.081542,0.450238,0.523527,0.404095,0.127809,0.116953,0.095825,0.102236,0.047601,0.254897,21.046926,26.855316,67.42951,5.000217,1.458453,0.667743,0.602032,0.892707,0.064247,30.65532,4.877423,350.2872,0.976249,0.021946,0.057497,0.073153,0.000288,0.005391,884.2578,0.687337,0,0.968043,0.116874,0,0.030957,0.002399,712.9184,232495.6,0.011959,1.517736,-9.81375,-0.273224,-2.042692,1.851676,0.00205,0.631468,4.042381,836,0.432616,-0.00001,-0.194192,0.101621,-0.000444,1.226007,-0.00004,0.000047,-0.0741,romantic
0.03847,2.631501,1.498389,2.429791,0.612518,0.131427,0.009245,0.000071,0.396552,0.20422,0.179607,0.094059,0.548659,0.44238,0.366005,0.103839,0.113723,0.121817,0.115161,0.181548,0.361926,15.813846,13.137036,57.97261,3.185564,1.102469,0.610025,0.425021,0.870487,0.078518,86.15623,6.678225,195.6898,0.582637,0.018093,0.043366,0.052783,0.000389,0.004836,3879.19,0.997668,0,0.923435,0.11208,0,0.07075,0.002704,416.6789,17838.07,0.005901,1.968984,4.062107,-0.133267,-5.455511,1.41624,0.000698,0.708746,4.445819,462,0.051972,-0.000003,-0.048602,0.01988,0.000897,1.339365,0.000016,0.000035,-0.122924,romantic
0.053,1.772555,1.482567,2.171184,0.440824,0.165516,0.01769,0.000168,0.467952,0.222474,0.184793,0.069965,0.264185,0.238775,0.294307,0.10436,0.09592,0.106828,0.121416,0.048825,0.133609,43.334105,68.369187,82.19545,5.170146,1.392398,0.625217,1.008921,0.902337,0.181824,100.9218,5.681728,89.4458,0.437076,0.008827,0.008219,0.08199,0.000088,0.016986,6745.197,0.195276,0,0.901465,0.09319,0,0.088885,0.002266,593.2135,35397.28,0.010924,0.637629,-7.396637,0.216018,-2.081691,0.8985,0.002291,0.535016,4.553707,1880,-0.42895,0.000002,-0.274753,-0.175452,-0.006056,0.939506,-0.000065,-0.000047,-0.553441,romantic
0.05665,1.851632,1.471272,2.091824,0.380183,0.16077,0.036191,0.000399,0.428566,0.206679,0.203801,0.076855,0.295786,0.26312,0.267765,0.103277,0.106429,0.101875,0.098128,0.049386,0.1893,34.262827,50.148905,79.4244,5.639562,1.499299,0.562759,0.930956,0.899286,0.073101,45.997,5.053815,226.5646,0.91451,0.017345,0.038787,0.326145,0.000143,0.004569,1784.492,0.30653,0,0.697736,0.060492,0,0.211041,0.003221,643.2719,224720.1,0.021714,0.98925,-9.274051,0.105192,1.503513,1.833414,0.005165,0.688143,4.406431,43,0.056858,0.000006,0.113772,0.082139,-0.001387,1.216923,0.000076,0.000164,-0.024182,romantic
0.051129,1.658888,1.506928,2.87185,0.32946,0.137628,0.029132,0.000167,0.429577,0.232816,0.173259,0.0875,0.747349,0.466188,0.487244,0.145867,0.175719,0.151211,0.162912,0.107224,0.459338,10.547323,11.507802,83.22591,4.901288,1.335278,0.60982,0.671885,0.8623,0.041922,51.71152,6.383721,1051.036,2.977135,0.058979,0.105416,0.0856,0.000763,0.003043,2701.538,1.547366,0,0.960053,0.129539,0,0.038377,0.002321,567.1882,276564.9,0.019092,1.85715,-1.336471,-1.914984,-6.471115,4.118667,0.002504,0.848606,7.134102,2194,-0.000439,-0.000007,0.064489,-0.02531,-0.002754,1.636878,0.000013,0.000149,0.224484,romantic
0.033465,2.069621,1.521697,2.305374,0.404136,0.115106,0.017522,0.000168,0.456271,0.221339,0.200877,0.07765,0.316416,0.225667,0.441325,0.155593,0.141952,0.124765,0.123548,0.078129,0.355279,20.199088,23.774091,63.9076,4.244782,1.290846,0.841792,0.733832,0.898915,0.079761,50.00888,5.775209,286.7252,0.81968,0.017383,0.093932,0.141087,0.000161,0.008087,2690.433,0.691668,0,0.805593,0.090677,0,0.156718,0.003579,352.3204,52767.72,0.01164,1.933247,-5.927955,-0.393072,-4.354195,2.475589,0.00155,0.625407,4.820465,820,-0.036813,0.000005,-0.159475,0.118517,-0.000988,1.07459,0.000013,-0.000013,0.112652,romantic
0.046049,1.341403,1.494528,2.164386,0.427344,0.152067,0.016898,0.000044,0.436005,0.221123,0.184165,0.079088,0.536151,0.475915,0.306824,0.12353,0.139011,0.137915,0.105506,0.057116,0.324461,17.561905,14.845236,68.61156,4.093466,1.258167,0.606237,0.570814,0.881081,0.095199,69.87748,5.983111,217.4667,0.408202,0.009641,0.041549,0.048674,0.000237,0.009007,3572.649,0.642256,0,0.530626,0.069592,0,0.249228,0.006119,518.1952,48816.1,0.006011,1.255185,-3.360845,-1.465212,-3.447182,3.514081,0.000889,0.489599,4.471769,2908,-0.221274,-0.000002,0.12132,-0.032573,-0.002881,0.934663,0.000002,0.000084,-0.201595,romantic
0.038621,0.990089,1.484363,2.514898,0.309562,0.141133,0.025814,0.000099,0.427731,0.205026,0.189647,0.0803,0.470533,0.292708,0.438165,0.116373,0.112083,0.113429,0.110028,0.12557,0.286863,39.845503,54.136238,72.3101,4.53837,1.309802,0.680334,0.775789,0.897325,0.075283,58.60926,6.204,167.036,1.000378,0.025943,0.077914,0.146272,0.000164,0.003633,2031.018,0.781186,0,0.88482,0.075742,0,0.101981,0.002329,422.1702,123815.7,0.009296,2.934412,-5.874689,-0.867029,1.8467,4.346168,0.002199,0.537353,4.488015,1605,0.079256,-0.000007,0.154429,0.040902,0.000399,1.145295,0.000024,0.000033,-0.295686,romantic
0.067523,1.778811,1.513657,2.174416,0.467377,0.164298,0.02841,0.000604,0.455837,0.222399,0.188362,0.072663,0.19641,0.193657,0.286158,0.098602,0.096926,0.097938,0.104392,0.052329,0.176627,61.471017,85.140008,95.8277,6.194202,1.504573,0.638128,1.412861,0.90501,0.169118,97.29797,5.557917,166.6543,0.769311,0.012965,0.019802,0.294739,0.000061,0.018361,6872.977,0.25608,0,0.950732,0.108047,0,0.046872,0.003039,723.2601,106705.7,0.024004,0.299402,-10.02637,1.088115,-1.664615,0.717634,0.003932,0.490805,5.80817,232,0.201732,0.000004,0.097945,-0.042849,0.000979,0.908841,0.000018,-0.000005,-0.438125,romantic
0.103205,0.630266,1.447654,2.100674,0.438281,0.188801,0.039425,0.000059,0.382747,0.193994,0.198027,0.076685,0.436381,0.237596,0.272177,0.113854,0.116645,0.083082,0.105671,0.030439,0.134892,31.696446,30.857842,102.5414,6.837051,1.598769,0.543342,1.405362,0.903562,0.077544,31.7828,5.25748,162.0451,0.577636,0.010668,0.01134,0.200806,0.000112,0.006696,970.4794,0.320804,0,0.840213,0.126329,0,0.134345,0.005406,1063.2,202994.3,0.009821,0.952962,-14.03596,0.048982,-3.723702,0.913166,0.002241,0.508776,3.336156,1775,0.160216,-0.000011,0.231032,0.134194,0.000936,1.078705,0.000036,-0.000011,0.056291,romantic
0.034038,2.462054,1.551049,2.297466,0.396806,0.128984,0.018577,0.000029,0.398435,0.215382,0.191259,0.074281,0.294147,0.1804,0.299285,0.099193,0.083756,0.104007,0.09115,0.036103,0.202153,12.617327,13.074049,73.52621,4.680634,1.326271,0.648358,0.895692,0.901622,0.09051,56.2191,5.997133,58.06837,0.421369,0.011782,0.036948,0.068115,0.000131,0.004908,1463.323,0.319526,0,0.857523,0.100955,0,0.122259,0.004161,369.9431,49856.32,0.005031,3.721145,-7.109633,-1.033348,3.299498,2.714035,0.000931,0.440069,4.105073,60,0.2478,-0.000003,-0.045997,0.124768,-0.000249,1.000813,-0.000043,0.000001,-0.095981,romantic
0.034614,1.643376,1.533974,2.458678,0.349219,0.107806,0.01548,0.000107,0.446777,0.231368,0.183075,0.089015,0.63377,0.453732,0.364449,0.107403,0.162016,0.144687,0.10025,0.07167,0.247839,12.693386,12.39542,47.54517,3.938195,1.36998,0.663437,0.251052,0.884072,0.041338,38.78767,4.450454,135.2625,0.502586,0.018547,0.067667,0.023058,0.000346,0.002597,1569.98,0.670619,0,0.623835,0.095488,0,0.234821,0.006079,382.278,93319.65,0.005736,1.912382,-5.161278,-0.224917,-13.16186,7.974444,0.001109,0.530454,4.680592,1190,0.084539,-0.000002,-0.382231,-0.32769,0.000801,1.192322,0.000045,0.000007,0.043776,romantic
